commit_id,OSV-2020-1121,OSV-2020-1222,OSV-2020-1301,OSV-2020-1733,OSV-2020-955,OSV-2020-958,OSV-2020-998,OSV-2020-999,OSV-2021-220,OSV-2021-222,OSV-2021-228,OSV-2021-229,OSV-2021-231,OSV-2021-240,OSV-2021-242,OSV-2021-251,OSV-2021-258,OSV-2021-305,OSV-2023-1370,OSV-2023-837,OSV-2024-1212,OSV-2024-189,OSV-2024-20,OSV-2024-74
c865361bf3bdb37ceb6afe27dbf24fab954ac51e,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
4ac085ee7d9d188071c2f826bf9d01226ffcce69,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
d123a44adb57dd3927c47d59ab45cf677e439483,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
7a215862ccfeffac12584d754836f66ce2641a47,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
b7a366e9c1ab5aac8f1fa6c3026c528eb0c31800,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
323eaefbbcc139b2d26435b6ab3974d3829bd5d3,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
4702faafeacc2280dc78e326d676b0ea6d90a578,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
b6201def434ec3a1d433ff1e85771b81b66d759c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
23ee217338cee2bccd3d29c15f4c9225ba846872,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
6bea45088da7331c255c0075bcdfc7833aafd70c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
2d616b3f10fdc2228d8e797e8e5d5c547b96e571,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
4ee4b75b16716f691443bd22ce0d9fa7e0a17b96,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
565560e04028206eccb8e221d7f962133c57fab7,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
9dfbf8d7ffee3dcda6af7c75784f7d2436d9ef01,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
